Name,Description,FKBP5,Kallikrein2,ZBTB10,BM039,TMEPAI,NKX3-1,KLK3,EAF2,MED28,ABCC4,SARG,GNMT,MPHOSPH9,NNMT,TNK1,MGC4504,MAN1A1,GLRA2,CD200,SRP72,MAF,ACSL3,HERC3,PTGER4,,Class
androgenB_502C_B23,androgen,548.5,345.5,203.5,608.5,276,1917,3041,345,193,1121,144,208.5,167,308.5,475,17208,128,279,357,283,1293.5,368.5,1222.5,232,,1
androgenB_502C_D23,androgen,840,449,228,1049,334,2060,3562,521,170,1461,167,378.5,229,359,655.5,18351,114,329,498.5,361,1802,442,1442,273,,1
androgenB_502C_F23,androgen,603.5,367,202,658.5,352,1659,2960,348,213,969.5,113,293,193,230,381,17054,105,264,416,245,1523,399,1237,242.5,,1
androgenB_502C_H23,androgen,552.5,406,142,979,271,1741,3473.5,394,126,1246,126,279.5,184,266.5,406,18595,80,167,170,302,1644,359.5,1127,209,,1
androgenB_502C_J23,androgen,511,353,137,659,280,1640,3273,366.5,128,1021,103,304,172.5,199,459.5,17589.5,89,212,304,249,1473.5,372,1139,234,,1
androgenB_502C_L23,androgen,623,596.5,239,966.5,408,2104,3572,453.5,233.5,1418,193,395.5,214,365.5,534,17553,100,213,321,354,1630,450,1418,274.5,,1
androgenB_502C_N23,androgen,591,378,251,715.5,365,1710.5,3130,367.5,183.5,1097,128,287,168,232,551,17203.5,108,361,608.5,302,1389,388.5,1190,297.5,,1
androgenB_502C_P23,androgen,963,644,314,1306.5,486,2542,4081,770.5,234,1943,214,343,351,385,1083,17063.5,100,504,704,564.5,1903.5,464,2024.5,338.5,,1
androgenB_503A_B23,androgen,517,218,86,577,149,1399,3043,237,86,945.5,77,182,160,223,103.5,5396.5,127,67,111,153,1183,239,810,132,,1
androgenB_503A_D23,androgen,427,192.5,101,492,133,1108,2481.5,213.5,87,702,79.5,142,104,217,186,5672,127,76,94,123.5,938.5,166,581.5,123.5,,1
androgenB_503A_F23,androgen,408,191,73.5,443.5,141.5,1291.5,2816,247,65.5,693,64.5,163,136,226,278,5115,127,139,204,159,903,184,658.5,107,,1
androgenB_503A_H23,androgen,439,217,85,452.5,134,1309,2542,189.5,73,631,88,148,104,246,358,5494,127,130,259,179,883,142,574.5,113,,1
androgenB_503A_J23,androgen,364,148.5,102,350,145.5,1179.5,2635,196.5,44.5,631,47,102,122,206,263.5,5094,112,85,128,148,789.5,158,494.5,96,,1
androgenB_503A_L23,androgen,287,126.5,53,309,95,906,2137,139,88,450,75.5,111,84,187,206.5,5646,129,60.5,127.5,92.5,523,99,387,90,,1
androgenB_503A_N23,androgen,198,125,82,185.5,99,622,1736.5,96.5,54,369.5,52,71,80,141,135,5196,99.5,87,125,91.5,358,67.5,350,89.5,,1
androgenB_503A_P23,androgen,522,213,124,580,186,1701,3035,334.5,70,871,74,130,138,303,387,5642,100,210,346,129,828.5,155,933,133,,1
androgenB_503B_B23,androgen,679,542,230,1081,326,2090,3364.5,428.5,180,1329,141,264,261.5,277.5,453,4952,120.5,286.5,417.5,225,1442,398,1425,211,,1
androgenB_503B_D23,androgen,765,603,212,1526,384,2312,3606,471,182.5,1484.5,156,349,245,373,461.5,5184.5,137.5,188,223,229,1796,415.5,1601.5,337,,1
androgenB_503B_F23,androgen,595,433,153,1002,286,1927,3341,374,118,1190,108,270.5,274.5,250,267,4847,86,153,196,199,1395.5,338,1338,239,,1
androgenB_503B_H23,androgen,525.5,401,133,906,236,1617,3083,295.5,110,976,100,238,145,262.5,242,5373,125.5,95,158,166.5,1153,261,994,154,,1
androgenB_503B_J23,androgen,656,436,194.5,932,288.5,1920,3359.5,338,152.5,1148,110,311,268,263,432,5211,92.5,245,395,219,1496.5,345.5,1198,248,,1
androgenB_503B_L23,androgen,601,522.5,267,879,295,1887,2822.5,276,138,871.5,145.5,241,222,285,717,5340,121,400,745.5,269.5,977,233,992,285,,1
androgenB_503B_N23,androgen,687.5,520,306,1002,385,2150,3187,379,171,1088,129,300.5,301.5,258,700.5,4769,103,406,662,280,1279,356,1222,324,,1
androgenB_503B_P23,androgen,562,487,189,1107.5,322,2223,3437,551.5,142,1149,128.5,226,210.5,296.5,572,5403,103,337,626,221,1029.5,281,1483,183,,1
androgenB_503C_B23,androgen,611.5,428,230.5,765.5,328,2095,3183,333,131,1089,117,318,258.5,177,520,4679,112.5,238.5,525.5,219.5,1634,362,1123,243.5,,1
androgenB_503C_D23,androgen,630,436,176,909,298,1988,2945,349.5,136.5,1033,127.5,376,194,189,456,4931,98.5,237,361.5,141,1487,275,1051.5,210,,1
androgenB_503C_F23,androgen,420,256,130,552.5,209,1532.5,3020,268.5,93,864,73,264,157,152,348,4722,87,147.5,272.5,163,1202,262.5,805,173.5,,1
androgenB_503C_H23,androgen,368,294,118.5,585,194,1502,2662.5,241,83,772,83,225.5,119,156,403,5302.5,105,186,314,153,1138,190.5,654,162.5,,1
androgenB_503C_J23,androgen,581,397,159,764,259,1862,3108,330,88.5,1047.5,86,321,249.5,128.5,420,4731,86,158,404,191,1472,322,915,215.5,,1
androgenB_503C_L23,androgen,424,387,229,606,282,3011,2798,262.5,118.5,869.5,171,228,172,218,1299.5,5016,115,448,449.5,286,1233.5,233,764,238,,1
androgenB_503C_N23,androgen,475.5,291,181,662,267.5,1627,3020,279,113,935,93,241,217.5,123.5,350,4992,94,184,306,174.5,1291,284,816,210,,1
androgenB_503C_P23,androgen,459,313.5,201,655,263,2026,3175,350,121,999.5,122,148,161,198,698,5342,119,293,372,208,1005,229,1108,193.5,,1
