Name,Description,FKBP5,Kallikrein2,ZBTB10,BM039,TMEPAI,NKX3-1,KLK3,EAF2,MED28,ABCC4,SARG,GNMT,MPHOSPH9,NNMT,TNK1,MGC4504,MAN1A1,GLRA2,CD200,SRP72,MAF,ACSL3,HERC3,PTGER4,,Class
unstimulatedA_503B_I02,unstimulated,85,75,72,148.5,80,747,889,55,51,186,52,78,74,91.5,272,4650,106,152,181.5,98,210,93.5,239,84.5,,0
unstimulatedA_503B_K02,unstimulated,128,90.5,72,169,92,974,754,46,78,176.5,39,80.5,95.5,110,488,5010,109,214.5,237,132.5,163.5,62,243,60,,0
unstimulatedA_503B_M02,unstimulated,74,56,57,77.5,57,709,423.5,40.5,52,110,52,46,56,81,198,4585,75,144.5,222.5,89,76,51.5,123,70,,0
unstimulatedA_503B_O02,unstimulated,108,93,89,90.5,81,1206.5,343,40,52,111,70,61,68,99.5,615,4875,81,386,501,189,91.5,57,156,75,,0
unstimulatedA_503C_A02,unstimulated,179,327,196,177,216,1615,1604,67,99,405,82,120,203,106,940,4335,68.5,467,664,280.5,305,139,439.5,126,,0
unstimulatedA_503C_C02,unstimulated,212,253,172,242.5,179,1241.5,1219,90,73.5,284,66,115,123,115,655,4214,88,331.5,629,182,243,118,274,129.5,,0
unstimulatedA_503C_E02,unstimulated,212,266.5,203,246,191,1443,1773,104,101,435,55.5,120,174.5,90.5,705.5,4092,87,294,538,220,406,160,384.5,119.5,,0
unstimulatedA_503C_G02,unstimulated,69.5,89.5,99,137,84,766.5,763,67.5,48,164.5,52.5,73,73.5,62,282,4392,71,164.5,328,101.5,153.5,88,176,54,,0
unstimulatedA_503C_I02,unstimulated,62.5,83,70,105.5,74,916,627.5,46,45,131,48,77,94,65,453,4265,63,241,397,132,150,62.5,136,48,,0
unstimulatedA_503C_K02,unstimulated,79,118.5,85,144,112,1069,683,46,58,156.5,44,65.5,66,70,703.5,4452,67,277,453.5,173,102,47,148,61,,0
unstimulatedA_503C_M02,unstimulated,90,72,49.5,77,60,855,362,59,37,106,32,54,87.5,56,568,4657,61,242.5,343.5,142,56,80,98,50,,0
unstimulatedA_503C_O02,unstimulated,99,155,112,143,105,1116,817,85,46,213,72.5,91,93,76,711,4884,85.5,306,488,146,169,81,176.5,97.5,,0
unstimulatedB_500A_B02,unstimulated,199.5,87.5,131,158,103,1231,726,45,56,251,57,78,150,167,411,3981,77.5,310,377,235,139,91,360.5,79.5,,0
unstimulatedB_500A_D02,unstimulated,173,93,100.5,146,93,1033,759,61,72.5,194.5,70,82,110,149,262,4368.5,137,190,283,295,184,80,324.5,71,,0
unstimulatedB_500A_F02,unstimulated,115,129.5,74,170,100.5,623,977,41.5,83,241.5,46,58,89,94,147,3804,83,68,158.5,141,136.5,116.5,302.5,44,,0
unstimulatedB_500A_H02,unstimulated,123,49,93,150,81,596,964,105,41,197,68,68,107.5,95.5,113,4537,110.5,86.5,136,102,168,96,307.5,82,,0
unstimulatedB_500A_J02,unstimulated,100,60,72,136,59,563.5,780.5,59,38,203.5,48,42.5,112,98,136,4365,102,88,137,105.5,145,68,272.5,65,,0
unstimulatedB_500A_L02,unstimulated,111.5,55,70,105,79.5,544,617.5,47,63,123,45,55,100,67.5,114,4213,101,98,107.5,177,80.5,62,200,62.5,,0
unstimulatedB_500A_N02,unstimulated,77,54,66,94,54,490,458.5,35,56,159,46,40.5,85,87,113.5,4237,85.5,96,105,147,97,41,181,46,,0
unstimulatedB_500A_P02,unstimulated,125,63,70,86,68,1047,627,37,45,144.5,47.5,58,71.5,92,288.5,4406,102.5,183,323.5,122,98,51,206,68,,0
unstimulatedB_500B_B02,unstimulated,307,258,240,258,174,1801,982,109.5,80,495,83.5,76,218,239,759.5,4285,150.5,505,572,411.5,376,123,493,155,,0
unstimulatedB_500B_D02,unstimulated,235,150,141,165.5,131,1492,873.5,73,86.5,307.5,91,76,137,245,550,4923.5,193,341,393.5,399,191.5,119,413,112,,0
unstimulatedB_500B_F02,unstimulated,238,149.5,124,273,101,1120,1144.5,109.5,44,598.5,88.5,99.5,186,200,386,4504,159,220,172,256,402,131,607,141.5,,0
unstimulatedB_500B_H02,unstimulated,259,127.5,118,213,137,1467.5,1581,91,76.5,412,87,89,136,224,338,4833,145,269,297,273.5,241,98,533,97,,0
unstimulatedB_500B_J02,unstimulated,142,120,94,92,85.5,1025,94,54,24,207.5,38,50,105.5,98,381,4667,137,250,224,243,86.5,61,235,84.5,,0
unstimulatedB_500B_L02,unstimulated,219,139,118,112.5,115.5,1317.5,474.5,61,43,175,65,68,135.5,198.5,621,4816,144,361,369,439,99,77,299,123.5,,0
unstimulatedB_500B_N02,unstimulated,192.5,113,141,101,96.5,1412,436,71,42.5,242.5,64,58,121,161,661,4499,129,362,368,416,138,85,302,107,,0
unstimulatedB_500B_P02,unstimulated,55,65,51,75,56,627,118.5,49,63,91,37.5,59,37,67,299,4358.5,84,94,112.5,129,52,26,163,68,,0
unstimulatedB_500C_B02,unstimulated,568.5,458,433,469,377,1864.5,1923,141,103.5,969,185,157,333,355.5,714.5,4477,221,569,780,502,892,385.5,1105.5,309,,0
unstimulatedB_500C_D02,unstimulated,399,254,246,353,195,1529,1864,122,114,684,111,114,275,336,331,4967,226,211,384,339,767,223,937,135,,0
unstimulatedB_500C_F02,unstimulated,316,197.5,197,311,140.5,1209.5,1642.5,94,79,639,94.5,106,169.5,270,458,4631.5,190,320,337,459,368,225.5,670,156.5,,0
unstimulatedB_500C_H02,unstimulated,221.5,154,146,194,127,1447,946.5,95.5,80,348,101,100.5,174,249,373,5085.5,194,319.5,341,408,241,117,550,112,,0
unstimulatedB_500C_J02,unstimulated,272.5,218,159.5,302,156.5,1435,1344,100,59.5,628,96,84.5,161,248.5,463,4660,169,318,391,409,318,126.5,572,123,,0
unstimulatedB_500C_L02,unstimulated,288,198,222,214,218,2066.5,785.5,92.5,68,308,126,126,234.5,324,670,5041,204,696.5,627,841,224,135,492,202.5,,0
unstimulatedB_500C_N02,unstimulated,258,149.5,165,189,138.5,1531,786,83,56,382,87,75,195,215,417,4700,167,355,346,433,159,107,465,125,,0
unstimulatedB_500C_P02,unstimulated,281,183,240,266,211.5,2050,1914,141.5,54,511,126,167,218.5,277.5,884,5038,138,666,937,430,293,178,768,205,,0
unstimulatedB_501A_B02,unstimulated,628,709,452.5,301,500,2931.5,1669.5,164,174,643,213,281.5,293,273,1966,11642,157,1240.5,1378.5,634,402,305,828,498,,0
unstimulatedB_501A_D02,unstimulated,346,508,275.5,334,352.5,2375,1570,150,133,636,167,169,225,212,1366,11818,150,723,1074,478.5,598.5,239,791.5,198,,0
unstimulatedB_501A_F02,unstimulated,399,459.5,288,305.5,377,2676.5,1732,125,146.5,570,164.5,181,224.5,217,1297,11936,142,801,1269,471.5,505.5,213,783,202,,0
unstimulatedB_501A_H02,unstimulated,388.5,629,360.5,288,435,2816,1377,129.5,93,629,193,208.5,228,247,2334,12034,151.5,1306,1574,840,374,178,621,303,,0
unstimulatedB_501A_J02,unstimulated,404.5,465,295.5,207,310,2781,1087,97,87,461,147,155.5,202,250,2409,11595,132.5,1139,1389.5,755,273,149,471,279,,0
unstimulatedB_501A_L02,unstimulated,307,425,229,172.5,319,2542,757,91.5,71,385.5,141,147,160,224,1859,12027,124,1163,1250.5,689,202,100,355,244,,0
unstimulatedB_501A_N02,unstimulated,252,352.5,225,183.5,264,2603.5,1151,109.5,87.5,380,118,205,170,188,1648.5,11611,116,1041,1568.5,563.5,229.5,129,410,250,,0
unstimulatedB_501A_P02,unstimulated,205,160,112,109,136,1826,1040,43,55.5,294,110,88,103,139,758,11970,83.5,351,539,289,194,92.5,373,114,,0
unstimulatedB_501B_B02,unstimulated,184,166,152,109,112,1347.5,785,96,97,224,73,93.5,86,141,527,8209.5,79,403,403,224,141,107,258.5,117,,0
unstimulatedB_501B_D02,unstimulated,139,121,137,126,87,906.5,653.5,55,60,190.5,60,72,95,119,346,8728.5,73,238,301.5,374,142,87.5,240,108.5,,0
unstimulatedB_501B_F02,unstimulated,116,112,105,101,86,1208,809,58,59.5,224,56,84,95,135,525.5,8377,76.5,285,335,298,160.5,83,251.5,88,,0
unstimulatedB_501B_H02,unstimulated,182.5,88.5,244,178,80,908.5,291.5,67,49,147.5,50.5,98,57,113.5,394,8664,96,202.5,309,596.5,96,82,143,92,,0
unstimulatedB_501B_J02,unstimulated,80,28,23,39,47,85,55,27,66,36.5,21,45,38,43,38,8460,64,53,45,48,35,43.5,67,39,,0
unstimulatedB_501B_L02,unstimulated,175,117,112,79,96.5,1322,185,27,58,135,70,70.5,76,122,705.5,8867,95,484,484,483,90.5,74.5,136.5,121,,0
unstimulatedB_501B_N02,unstimulated,123,136,73,87,98,1301.5,668,52,72,148,36,74,94,91,489,8882,58,386,566,256,113,79.5,211,89,,0
unstimulatedB_501B_P02,unstimulated,241,199.5,124,107,125,1623,1077,49,34,248,89,116,119,87,892,8291,61,477,704,375,143,85,300,103,,0
unstimulatedB_501C_B02,unstimulated,311,279,156.5,167,198.5,1552,1259.5,109,85,299,72,104,133.5,204,914,8956,98.5,402.5,566,335,227,138,333,112,,0
unstimulatedB_501C_D02,unstimulated,244,211.5,159.5,194,165,1478,923,81,81.5,300.5,81,90,127,175,695,9094,119,359,547,354,200.5,103,310,112,,0
unstimulatedB_501C_F02,unstimulated,291,180,98.5,126,125,1489.5,1206,56,0,350,42.5,91,99,220,735,8667,104.5,332,410,281,215,98,355.5,136,,0
unstimulatedB_501C_H02,unstimulated,199,225,154,125,148,1758.5,673,85,69,227,74,75,119,200,965,9587,82,586,725.5,387,111,93,256,120,,0
unstimulatedB_501C_J02,unstimulated,172,125,121,100,129,1662,518.5,55,49,204,64,92,94,184,758.5,8987,87.5,477,778,338,92.5,78,242,113.5,,0
unstimulatedB_501C_L02,unstimulated,216,198,142,137,144,1505,576,74.5,53,204,77.5,78,96,162,1111,9086,103,544,472,456.5,134,77,237,120,,0
unstimulatedB_501C_N02,unstimulated,132,98,82,63,106.5,1389.5,370,76,51,160,65,71,68.5,127,590,8966,79,448,602,273,118,66,190,86.5,,0
unstimulatedB_501C_P02,unstimulated,69,83,64,62,67,519,191,51,58.5,114,55,61.5,55,66,182,9458,82,134.5,148.5,106.5,46.5,55,125,67,,0
unstimulatedB_502A_B02,unstimulated,160,167,159,210,182,1476,1713,102,114.5,502,70.5,111,143,142.5,744,16316,143,245.5,413.5,250,438.5,137,712,130,,0
unstimulatedB_502A_D02,unstimulated,206.5,250,129,290,137,1666.5,1285.5,98,70,419.5,85.5,125,136.5,155,843,17047,120,319,571,274,309,127,465,111,,0
unstimulatedB_502A_F02,unstimulated,121,88.5,87.5,88,98,1538,831,44,103,290.5,2.5,49,89.5,61,626,17481,72,216,314,209.5,189,89,252,62,,0
unstimulatedB_502A_H02,unstimulated,175,133,127,179.5,102.5,1890,1068,90,57,297,68,97,84,141,833.5,17331,84,348.5,425,265,205.5,97,301,108.5,,0
unstimulatedB_502A_J02,unstimulated,95,58,86.5,116,61,1180.5,862.5,69,51,187,43.5,60,55,88,436.5,16742.5,79,179,285.5,148.5,155,62,193,67,,0
unstimulatedB_502A_L02,unstimulated,156,147,129.5,127,106,1736,484,54,48,193,57.5,78,105,157,950.5,17237,97.5,453,472,312,94,76,187,75,,0
unstimulatedB_502A_N02,unstimulated,124,85,65.5,94.5,71,1339,693,49,44,157,36,57.5,70,84,457,16437.5,68,248,413,190,135,54,178,76,,0
unstimulatedB_502A_P02,unstimulated,109.5,189,104,158,132,2237,967.5,35,45,313.5,58,138,93,137,1117,17333,79.5,590,837,274.5,122,84,310.5,116,,0
unstimulatedB_502B_B02,unstimulated,366,425,284,266,375,2565,1350.5,102,106,596,143.5,126,272.5,259,2045.5,17629,230.5,895,1109,699.5,341.5,180,683,173,,0
unstimulatedB_502B_D02,unstimulated,297,161,145,206,133.5,1766,970,103,57,458.5,105,66,141,249,1163.5,18072,182,395,374,440,241,96,521,83,,0
unstimulatedB_502B_F02,unstimulated,157,151,134.5,236,189,1174,1520.5,99,83,621.5,58,80,144,165,562,17548,178,228,277,183,377.5,163.5,603.5,123,,0
unstimulatedB_502B_H02,unstimulated,229.5,205,149,232.5,170,1613,1253,97,71,532,101.5,79,171,225,1009,17922,176.5,287,334.5,385.5,328,129,559,95.5,,0
unstimulatedB_502B_J02,unstimulated,157.5,123,120,143.5,102,1264,1046,70,42,367,43,69,102,124,669,18903.5,174,274,369.5,288,185,95,421,81,,0
unstimulatedB_502B_L02,unstimulated,157,211.5,116,158,164,2002.5,787,73.5,43,365.5,81.5,100,148,252,1740,19079,183,576.5,472.5,647,115,98,398,122,,0
unstimulatedB_502B_N02,unstimulated,159,89,109,103,94.5,1122.5,736,70,59,245.5,55,75,71,117,699.5,17965,150,322,457,281,110,95.5,292,102,,0
unstimulatedB_502B_P02,unstimulated,243,156,104,152,156,1369,1327,86,57.5,421,62,91,111,143,975,17315,124,404,585.5,269,160,80.5,450.5,113.5,,0
unstimulatedB_502C_B02,unstimulated,164.5,183,129,165,163,1210,1321,95,90,300,74,97.5,124,95.5,637,16889.5,105,302,422,288,199,133,326,100.5,,0
unstimulatedB_502C_D02,unstimulated,119,179.5,142,204,158,927,1352.5,89.5,80,390.5,79,83,138,111,400,18184,132,226,378,251,317,124,418.5,96,,0
unstimulatedB_502C_F02,unstimulated,76,85,113,122,99,935.5,1341,67,69,244,69,96,80,89.5,278,17293,99,203,370,166,266,111.5,378,76,,0
unstimulatedB_502C_H02,unstimulated,158.5,167,123,176.5,130,1039.5,1205.5,64,72,311,70,69.5,133.5,106.5,592,17781.5,102,320,356,233,251.5,109,326,76.5,,0
unstimulatedB_502C_J02,unstimulated,76.5,84,80,122,100,797,1077,62.5,60.5,270,53,49,85.5,78,303,17050.5,107,229,353,161,183,94,320,77,,0
unstimulatedB_502C_L02,unstimulated,88,140,91,91,120,1286,320,37,46.5,150,81.5,61,79,109,963,17398.5,116,463,358,347.5,60,64,190,76,,0
unstimulatedB_502C_N02,unstimulated,79.5,82,63.5,102,90,1070,569,50,39,150,50,78.5,56.5,65.5,455,15923,98,403,654,158,101,68,221,56,,0
unstimulatedB_502C_P02,unstimulated,107,130,80,95,101.5,1348.5,985,113.5,58,300,63,101.5,110,95.5,733,17884,83,370,588,211,182,67,425,86,,0
unstimulatedB_503A_B02,unstimulated,91,95,91,123.5,84,859.5,1222,87,74,259.5,33.5,57,88,117.5,323,4913,108,157,197.5,132,150.5,93.5,230.5,88.5,,0
unstimulatedB_503A_D02,unstimulated,57,55.5,45.5,89,48,583,530.5,57,47,112,44,40,57,71.5,149,5362,97.5,95,109,54,83,61.5,138.5,58,,0
unstimulatedB_503A_F02,unstimulated,81,40.5,43,64,81,288.5,758,44,16,168,87,40,61,56.5,95,4712,121.5,57,87.5,50,130.5,73,177.5,63,,0
unstimulatedB_503A_H02,unstimulated,39,31.5,32,55,40,176,455,48,20,108,9.5,30,51,56,54.5,5371,86,49,76.5,54,60,44,135,43,,0
unstimulatedB_503A_J02,unstimulated,28,45,30,50,55.5,174.5,283.5,50,12,96,32,34.5,23,33,98.5,5200,77,42,84,49,29,64,124.5,44,,0
unstimulatedB_503A_N02,unstimulated,56,38.5,57,36,50,278,198.5,50,42,72,24,63,46.5,46,72,5017.5,88,79,94,51,42.5,41,108,45,,0
unstimulatedB_503A_P02,unstimulated,68.5,80,86,76,57,515,486,47,63.5,166,41,52,46,68,179,5829,96,127,122,82,92,57,170.5,60,,0
unstimulatedB_503B_B02,unstimulated,246,247.5,243,381,199,1882,2093.5,137.5,84,674,65,136.5,265,159.5,845,4914,149,395,462,238.5,758,255,849,132,,0
unstimulatedB_503B_D02,unstimulated,172,176,187,435,145,1653,1831.5,119,96,552.5,68,136,190.5,196,586,5272,151,242,328.5,184,567,196,760,121,,0
unstimulatedB_503B_F02,unstimulated,125,99,122,158,119,1307,965.5,102,70,319,51,100,135,130,453,4985,128,285.5,311.5,161.5,275,132,366.5,129,,0
unstimulatedB_503B_H02,unstimulated,158,147,119.5,246,114,1457,1348.5,93.5,70,316.5,39,96,128,150,609,5238,128,360.5,465,193.5,277,87,389,80,,0
unstimulatedB_503B_J02,unstimulated,95,57,65,126,55,803,837,46.5,64,159,48,60,107,78,365,5006.5,89,175,196,118,157.5,81,244,66,,0
unstimulatedB_503B_L02,unstimulated,119,76.5,74,93,83,1136,481.5,54.5,49,152,84,93,88.5,119,492.5,5308,116,333,434,195,124,65,207,91.5,,0
unstimulatedB_503B_N02,unstimulated,86,67,61,91,70,1105.5,391,68,52,122.5,44,69,77,91,538,4900.5,80.5,305,421,176,91,59.5,152,49.5,,0
unstimulatedB_503B_P02,unstimulated,113.5,90.5,70,103,86.5,1112,649,59,44,147,42,78,70.5,104.5,482,5111,99.5,412,617,109,120,62,333,84,,0
unstimulatedB_503C_B02,unstimulated,171,255,159.5,215,187,1461,1730.5,98,78.5,412,65,107,195,107,842,4690,118,349,587,210.5,331,180,366,107,,0
unstimulatedB_503C_D02,unstimulated,168,202,162,219,133,1238.5,1245.5,74,67,349.5,68,94,108,116,693,4870,122.5,340.5,450.5,179,305,123,272,115,,0
unstimulatedB_503C_F02,unstimulated,126,154,158,183,170,1217.5,1432,91,75,338,57,97,166.5,75,604.5,4792,95.5,227,459,158,279,125.5,306,106,,0
unstimulatedB_503C_H02,unstimulated,132,164,103.5,171.5,106.5,1083.5,1068,72.5,54,227,64,70,99,91.5,724,4931,92,234,385.5,122,139,89,225.5,64,,0
unstimulatedB_503C_J02,unstimulated,101,110,73.5,83,86.5,1189,612,56,60.5,172,65,62.5,98,76,785,4447.5,83.5,325.5,428,189.5,88,67.5,183.5,83,,0
unstimulatedB_503C_L02,unstimulated,114,133,104,94.5,94,1221,323,63,40.5,125,29,71.5,75,81.5,804.5,4855,91,332,421,168,87.5,61.5,142.5,70,,0
unstimulatedB_503C_N02,unstimulated,109,103.5,87,171,137,1264,1224.5,78,86.5,264,51,104.5,142,78,521,4899,68,301,451,172,225,109,278,94.5,,0
unstimulatedB_503C_P02,unstimulated,131,72.5,101,83,92,1105,1111,85,53,266,34,57.5,68,86,604,4946,79,198.5,415,97,145,77.5,336,89,,0
androgenA_500A_A23,androgen,585.5,345.5,206,677,193,1890,2816,219.5,95,906,117,172.5,225,309,255,4106,99,255,399,279,1367,262,1218,186,,1
androgenA_500A_C23,androgen,704.5,296,141,900,248,1899.5,3059,383,122,907,123,359,218.5,351,135,4421.5,101.5,101,139,218.5,1548,304,1149,199,,1
androgenA_500A_E23,androgen,631.5,334.5,126,973,180,1873.5,2789,258,84,1177,96,231.5,205,253.5,98.5,3882.5,93.5,90,106.5,227,1581,316,1053.5,210,,1
androgenA_500A_G23,androgen,484.5,229.5,136,639,190,1638.5,2831,251,137,673,98.5,240.5,195,257,119.5,4271.5,71,84,150,210,1298,231,902,148,,1
androgenA_500A_I23,androgen,752,338,175,1001,238,1875.5,2935.5,275.5,88.5,1075,99.5,326.5,217,269,89,3995.5,71,75,181,216,1631,331,1211.5,171,,1
androgenA_500A_K23,androgen,599.5,190.5,141,771.5,216,1853,2755,313,101.5,745,107,299,206,268,90,4028,78.5,80,150,211,1430.5,238,944,170.5,,1
androgenA_500A_M23,androgen,807,395,190,1035,263,2015,2901.5,295,115,1202,108,361.5,257,289,119.5,3913,67,85,108.5,230,1926,385,1364,224.5,,1
androgenA_500A_O23,androgen,827.5,316,203,1073,311,2215.5,3261,388,185,1100,147,394,297.5,358,122.5,4347,68.5,120,166,252,1876,339,1342,270,,1
androgenA_500B_A23,androgen,330.5,141,161,306,114,1284,1927,117,75,671.5,71.5,69,155,279,294.5,4438,128.5,223,232,304.5,534,109,646.5,151,,1
androgenA_500B_C23,androgen,558.5,324.5,184.5,698,224,2062,2797.5,242,106.5,870,153,172.5,245,403,643.5,4837.5,125,357,402,496.5,1156.5,265,928,218.5,,1
androgenA_500B_E23,androgen,624.5,421.5,231,830,204,1882,3046,219,81,1083,128,129,241,405.5,515,4496,142,292,356,414.5,1120,311,1012,192,,1
androgenA_500B_G23,androgen,636,253,152,699.5,221.5,1767,2687,251,112,843.5,113,205,228,346,365,4762,129,137,163,334,1195,271,985.5,164,,1
androgenA_500B_I23,androgen,588,390.5,213,773.5,215.5,1765,2928.5,224,84.5,1087,139,164,239,400.5,619,4636,114.5,244,279,353,1119,261,977,160,,1
androgenA_500B_K23,androgen,580,346,169,793,258,2075,2934,323.5,134,882,151,197,211.5,411,474,4977.5,148,215,251,326,1108.5,259.5,1054,179,,1
androgenA_500B_M23,androgen,526.5,377.5,170,752,216,1697,2842,235,73,1073,126,150.5,179,318,509,4654,105,189,210.5,324,961,277,938,138.5,,1
androgenA_500B_O23,androgen,345,278,128,487,193.5,1795,2705.5,191.5,53.5,638.5,96,134,192,272.5,738,4544,115,299,309,337,769,186,812,126,,1
androgenA_500C_A23,androgen,742,482,283.5,856,278,2171,2953.5,336,102,1489,166.5,190.5,321.5,472,462.5,4741,139.5,262,448,487,1533.5,385,1398.5,234.5,,1
androgenA_500C_C23,androgen,1007,439.5,393.5,1258,442,2434.5,4001,542,237,1502,265,463.5,341,572,457,5001,171.5,309,476,947.5,2029,517.5,1652,370,,1
androgenA_500C_E23,androgen,1148.5,596.5,468,1460,478,2453.5,3629,416,212.5,1799,291.5,402,420,597,323,4298,139,216,406,671,2175,598,1730.5,394,,1
androgenA_500C_G23,androgen,1073,548,418,1256.5,468,2750,3773,525,271,1539.5,271,470.5,425,677,530.5,5018,180,403.5,547,924.5,2087,559,1680,367,,1
androgenA_500C_I23,androgen,1159,627,460,1401,449,2543,3729,508.5,184,1845.5,261,449,382.5,642.5,369,4626,177,227,349,812.5,2299,600,1828,401,,1
androgenA_500C_K23,androgen,1318.5,636,463,1519,513,3079.5,4156,723.5,258.5,1819,315,616,451,845,433,5047,197,449,515.5,1002,2451.5,587,1864,416,,1
androgenA_500C_M23,androgen,1210,628.5,380,1422,515.5,2618.5,3845,515,181,1896,269,510,379.5,630,372,4591,186,281,418,668,2228,592,1881,385,,1
androgenA_500C_O23,androgen,1170,726,429,1515,579.5,3178,3967,781,302,1880,339.5,594,567,746.5,456.5,4757,162,442,609.5,891,2399,649,2046.5,436,,1
androgenA_501A_A23,androgen,1178,932.5,613,1180,682,4021,3929,880.5,334,1815.5,361,570,367,556,1537,12247,115,1039.5,1496,811,2207,612,1833.5,543,,1
androgenA_501A_C23,androgen,948.5,733,384,1090,443,2826,3074,552.5,176,1236,240,364.5,316,387.5,1302,11415,76.5,778,984,576.5,1922,447,1333,367,,1
androgenA_501A_E23,androgen,907,842,397,983.5,504,2966,3663.5,693,194.5,1306,260.5,485,313,381.5,1256,11884.5,92,706,930,564,1902.5,569.5,1654.5,382,,1
androgenA_501A_G23,androgen,870.5,859,415,1122.5,522,3046,3408,509,189,1311,255.5,368,341,458,1678,12281.5,137.5,900.5,1174,825,1848,496,1440,431,,1
androgenA_501A_I23,androgen,1065,845,366,883.5,549.5,3036,3699,568.5,221,1286.5,254,461.5,384,464,1421,11643,97,586,802.5,534,2038,576.5,1686,353,,1
androgenA_501A_K23,androgen,1021,907,435,1079,573,3031,3131.5,456.5,229,1204.5,289.5,384,349,495,1732,12377.5,129,878,1192,738.5,1818,504,1482,393,,1
androgenA_501A_M23,androgen,969,754,305.5,980,559,3007,3430,443,176,1183.5,204.5,420.5,291,423.5,1319,11800,109,756.5,1114,588.5,1807,458,1490,389,,1
androgenA_501A_O23,androgen,797.5,862,333.5,1057,471.5,2848.5,3063,565,200,1255.5,215,388.5,284,365,1305,12153.5,82,788,1044,585,1789,474.5,1544.5,348,,1
androgenA_501B_A23,androgen,467,316.5,288,350.5,268,2170,2526,220,113,617,120,151,169,323,684,8472,84,566,863,401.5,600,224,718.5,263,,1
androgenA_501B_C23,androgen,572,484,351.5,553,337,1750.5,2337,218.5,164,725,151,216,211,241.5,806.5,8392,85,549,723.5,441,916,307,668,349,,1
androgenA_501B_E23,androgen,351,294.5,165,443,210,1817,2194,232,112.5,595,101,140,122,261,670,8330,108,411,570.5,356.5,746,241.5,628.5,235,,1
androgenA_501B_G23,androgen,585,366,155,730.5,205,1453,2437.5,266,130,798.5,113,200,145,223,405,8619,65,196,201,258.5,1165.5,309.5,888.5,175,,1
androgenA_501B_I23,androgen,389,359,163.5,421.5,226,1908.5,2441.5,241,89,630,78,154.5,141,247,1028,8667,74,474,514.5,410,825,223,644,155,,1
androgenA_501B_K23,androgen,293.5,304,175.5,347,200.5,1494,2095,178,103,533,94,116,117,232,814,8536.5,88.5,402,466,405,570,159,510.5,147.5,,1
androgenA_501B_M23,androgen,354,228,123,431,166,1525,2436,228,131,601,75,141,117,215.5,426.5,8315,57,267,373,261,648,196.5,661.5,126,,1
androgenA_501B_O23,androgen,569.5,501.5,254.5,678,294.5,1691,2647,322,135,825.5,108,228,190,263,505.5,8086,72,313,487,320,1041,338.5,988,228.5,,1
androgenA_501C_A23,androgen,471,307,212.5,407,214,1918,2650,295,138,723.5,111.5,136.5,136,304,787,8503,75,370.5,470,342,820,210,797,186.5,,1
androgenA_501C_C23,androgen,560.5,395,220,637.5,244.5,1413,2573,386.5,135,684,126,255,145.5,257,480,8785,73,182,296,382,1216,265,782,216,,1
androgenA_501C_E23,androgen,483,348,144,448,231.5,1534,2679,258.5,170,690,67.5,187.5,149,252,530,8596,53,270.5,333,271,958,255,790,172,,1
androgenA_501C_G23,androgen,523.5,159.5,166,642,213,1548,2536.5,308,127.5,795,97,207,135,245,364,8857.5,88,172.5,284,303,1199.5,292,781.5,215,,1
androgenA_501C_I23,androgen,428.5,264,138,362,170,1609,2398,232,64,558,84,158.5,122.5,270,869,9137,97,301,364,393.5,761,173,577,152,,1
androgenA_501C_K23,androgen,567,430,185,651,262,1580.5,2454.5,326,137.5,803,120,219,168,295,794,8973.5,78,276.5,408,388.5,1164,262.5,879.5,200,,1
androgenA_501C_M23,androgen,485.5,339,149,554,219,1562.5,2713.5,355,111.5,668,92,188,129.5,263,559,9077.5,78,235,332,231,966,271,854,150,,1
androgenA_501C_O23,androgen,553,344,150,551.5,207.5,1470,2424,323,78,698,116,181,127,224.5,620,8110,91,254.5,337,283,914,250,735.5,137,,1
androgenA_502A_A23,androgen,477,351.5,294,509,240.5,2310,2657,236.5,146,904,100,187,178,255,744,16771.5,70,476.5,565,310.5,998,229.5,903,271,,1
androgenA_502A_E23,androgen,427,326,128,623.5,214,1603,2813,243,48,860,94,155,140,242,517.5,16786,74,275.5,286,250,960,269,831,160,,1
androgenA_502A_G23,androgen,606,515,209,895.5,258,2289,2956,276,97,996,127.5,254,235,366,952,16103,89,454,615.5,457,1224,321,996,245,,1
androgenA_502A_I23,androgen,288,290,125.5,422.5,162.5,2074,2289,158,69,588,80.5,151,145,214,785,16275,82,395.5,513,265,678,171.5,561.5,126,,1
androgenA_502A_K23,androgen,62,371,186,669,206,2263,2332,192,86,814.5,92,168,187,321,958,16285,79.5,385.5,473,391.5,859,213.5,627,189,,1
androgenA_502A_M23,androgen,355,255,136,701,199,1950.5,2586,237,94.5,865,69.5,184,155,203.5,493,16595.5,85.5,304.5,460,234,1136,264,896.5,217,,1
androgenA_502A_O23,androgen,772.5,554,210,1059.5,329.5,2446,3039,341,120,1251,151.5,299,267.5,338,899,15586,77,468.5,620.5,390,1319,405,1133.5,252,,1
androgenA_502B_A23,androgen,624,505,369,552.5,375,2966.5,3049,319,144,1102,128,199,271.5,442.5,1761,17447,149,793,841,707,1104,306,977.5,315,,1
androgenA_502B_C23,androgen,31.5,43,24,36.5,23.5,23.5,35.5,44,16,37,26.5,20,26,32,34,40.5,31,22,33.5,49.5,32,32,23,25.5,,1
